Date	Time	ElapsedMicrosecs	WeightFromScale [g]
2023-08-01	14:12:08	18121578	120.3790
2023-08-01	14:12:08	18126707	120.3790
2023-08-01	14:12:08	18131961	120.3790
2023-08-01	14:12:08	18137793	120.3790
2023-08-01	14:12:08	18143413	120.3790
2023-08-01	14:12:08	18152819	120.3790
2023-08-01	14:12:08	18158445	120.3790
2023-08-01	14:12:08	18162940	120.3790
2023-08-01	14:12:08	18169104	120.3790
2023-08-01	14:12:08	18175769	120.3790
2023-08-01	14:12:08	18180925	120.3790
2023-08-01	14:12:08	18187206	120.3790
2023-08-01	14:12:08	18196207	120.3790
2023-08-01	14:12:08	18204463	120.3790
2023-08-01	14:12:08	18210770	120.3790
2023-08-01	14:12:08	18216786	120.3790
2023-08-01	14:12:08	18222256	120.3790
2023-08-01	14:12:08	18227589	120.3790
2023-08-01	14:12:08	18232341	120.3790
2023-08-01	14:12:08	18237757	120.3790
2023-08-01	14:12:08	18244812	120.3790
2023-08-01	14:12:08	18253898	120.3790
2023-08-01	14:12:08	18258836	120.3790
2023-08-01	14:12:08	18263522	120.3790
2023-08-01	14:12:08	18268482	120.3790
2023-08-01	14:12:08	18273197	120.3790
2023-08-01	14:12:08	18278812	120.3790
2023-08-01	14:12:08	18283059	120.3790
2023-08-01	14:12:08	18287215	120.3790
2023-08-01	14:12:08	18299352	120.3790
2023-08-01	14:12:08	18303725	120.3790
2023-08-01	14:12:08	18309205	120.3790
2023-08-01	14:12:09	18316115	120.3790
2023-08-01	14:12:09	18323116	120.3790
2023-08-01	14:12:09	18329194	120.3790
2023-08-01	14:12:09	18340382	120.3790
2023-08-01	14:12:09	18348523	120.3790
2023-08-01	14:12:09	18352870	120.3790
2023-08-01	14:12:09	18357518	120.3790
2023-08-01	14:12:09	18363749	120.3790
2023-08-01	14:12:09	18368238	120.3790
2023-08-01	14:12:09	18373054	120.3790
2023-08-01	14:12:09	18377871	120.3790
2023-08-01	14:12:09	18392265	120.3790
2023-08-01	14:12:09	18396912	120.3790
